0	102269	0.119046	0.348037	1.700050	0.214800	0.128371	5.186040	0.096164	0.168085	0.250485	0.640471	0.825824	0.508717	0.919403	0.015585	0.006042	0.143212	12.768400	1.259190	36.411000	21.041200	36.7755	17.3707	0.860859	25.21900	26.85200	0.564507	1.653960	1.106180	0.107488	0.02529	0.166611	0.011643	0.361327	0.00109016	0.073132	2.91596	0.221591	0.403150	2.077460	0.0194737	0.806829088	1.1506	0.352097508	0.983791834	0.822802239	-0.138475966	0.344732	0.233956	0.002640	66.7740	1.09734
1	88632	0.104383	0.352050	1.626380	0.229743	0.122473	4.777020	0.096508	0.185236	0.229028	0.658254	0.807325	0.446077	0.907318	0.015331	0.006539	0.096496	12.749700	1.253400	36.360800	21.444100	39.3963	18.8492	0.871279	25.26930	22.99000	0.577416	1.449590	1.192390	0.107866	0.02400	0.201977	0.015652	0.378762	0.000987021	0.085686	3.10979	0.231137	0.416904	2.587860	0.0209021	0.925702955	1.45067	0.286109917	1.014944318	0.932914627	-0.067728004	0.383511	0.305765	0.002035	72.8582	1.17031
2	96305	0.119083	0.368696	1.668970	0.209877	0.130575	4.981660	0.091322	0.184155	0.260919	0.60612	0.825184	0.510051	0.914223	0.014531	0.006246	0.180144	12.755300	1.258450	35.252800	21.615900	39.2767	19.8996	0.898693	24.89880	24.65710	0.560704	1.633280	1.084210	0.112279	0.02349	0.200273	0.013886	0.358007	0.00128056	0.073272	2.84626	0.209421	0.416248	2.021100	0.0212937	1.17966899	1.39719	0.429057681	1.03590133	0.832610336	-0.096038041	0.372703	0.310654	0.003064	40.4864	1.14904
3	104027	0.122745	0.333080	1.722990	0.219416	0.129400	4.815700	0.093880	0.154609	0.223636	0.655373	0.844258	0.480888	0.916089	0.015333	0.006243	0.135721	12.682000	1.263990	36.169000	21.158800	38.3970	18.4060	0.879595	24.87230	26.30800	0.565489	1.508280	1.109110	0.105276	0.02404	0.156967	0.012876	0.361038	0.000970461	0.078600	2.99384	0.243566	0.393146	1.993210	0.0195691	1.006816484	1.38863	0.357047487	0.994580409	1.323015325	-0.037627614	0.370909	0.073086	0.002055	60.7327	1.13883
4	103143	0.118426	0.346324	1.674420	0.221923	0.122558	4.721050	0.088156	0.176621	0.284637	0.621023	0.835522	0.506649	0.918206	0.014200	0.006212	0.163427	12.774000	1.257770	36.438300	21.384800	39.4945	17.5876	0.922616	25.96980	23.81560	0.552047	1.597210	1.046580	0.119418	0.02764	0.109616	0.012224	0.359484	0.000955141	0.089520	3.15356	0.217251	0.383866	2.193150	0.0174608	0.973924404	1.32969	0.612898711	1.001036412	0.793367106	-0.230922895	0.336187	0.286662	0.002478	65.0580	1.12773
5	87852	0.109343	0.336321	1.514820	0.212579	0.118557	5.108930	0.089668	0.162716	0.214418	0.728263	0.783806	0.456785	0.897469	0.015304	0.006630	0.146540	12.659600	1.249630	35.967600	21.452700	37.9338	19.5044	0.901849	25.24500	23.13690	0.583962	1.594810	1.056830	0.126455	0.02301	0.185968	0.010951	0.428086	0.000962341	0.089862	3.24900	0.193824	0.442534	2.127460	0.0184524	1.045429332	1.07736	0.69172494	1.093344593	0.795067077	-0.031087411	0.358621	0.227010	0.001327	117.4920	1.16017
6	62227	0.089471	0.339211	1.519440	0.230078	0.113457	5.040190	0.108919	0.173380	0.220074	0.698799	0.781109	0.497427	0.913225	0.015139	0.006346	0.216160	12.584600	1.273770	35.286300	21.908200	39.5091	20.9836	0.910031	25.80270	24.84510	0.540113	1.620980	1.118160	0.110180	0.02805	0.264017	0.012117	0.420601	0.00107842	0.078134	3.47681	0.197647	0.471440	2.180000	0.0201669	0.81519872	0.980289	0.349636563	0.952640551	1.04895742	-0.170358967	0.504592	0.361305	0.000770	151.9500	1.12801
7	42534	0.111229	0.396580	1.910880	0.217135	0.116497	5.137620	0.105138	0.148766	0.207592	0.673235	0.766575	0.48706	0.883607	0.015085	0.006568	0.219449	12.394500	1.312620	35.342600	21.784100	36.6039	20.4456	0.859502	27.25880	25.22120	0.588621	1.504430	1.155980	0.108875	0.02437	0.295539	0.015383	0.391367	0.000930293	0.108834	3.67397	0.184471	0.416656	2.240160	0.0157634	1.02313928	1.73594	0.664558755	0.929166934	1.240174789	0.197118593	0.383641	0.228299	0.001943	87.6728	1.1175
8	99192	0.113980	0.342879	1.659440	0.232500	0.118363	4.946060	0.093331	0.168085	0.250485	0.640471	0.825824	0.508717	0.919403	0.015585	0.006042	0.143212	12.768400	1.259190	36.411000	21.041200	37.5811	17.4919	0.923342	25.99570	25.29910	0.550520	1.733410	1.132270	0.117889	0.02529	0.212987	0.013204	0.432621	0.00109016	0.086664	2.81448	0.212043	0.427628	2.279330	0.0204479	0.953013851	1.26056	0.560833233	0.91492234	0.832033539	-0.210153885	0.440524	0.343714	0.002770	39.6692	1.1227
9	66151	0.122441	0.340576	1.634770	0.209005	0.140176	5.077180	0.088287	0.130340	0.248972	0.600427	0.85979	0.547815	0.949956	0.014029	0.006130	0.227363	12.775900	1.277550	36.254400	21.798600	38.9913	19.9731	0.839075	25.47250	22.76240	0.556390	1.638220	1.125850	0.097486	0.02435	0.173411	0.013015	0.374996	0.00108742	0.075894	3.30429	0.202691	0.418403	2.148590	0.0222586	0.976216271	1.21082	0.365409887	1.010118693	0.656542773	-0.180606098	0.35343	0.141907	0.001305	88.8591	1.10613
