0	44077	0.670017	0.189751	12.7343	1.18672	0.0885786	37.5316	22.1082	51.6569	18.0059	0.806973	34.763	38.579	0.3609	1.41502	1.29507	0.0847336	1.04366	0.914653	0.0204183	0.0499558	0.0274589	0.0366708	0.0040898	0.588438	0.00499854	0.0349722	0.0241297	0.0166925	0.00131209	0.955456	4.15131	0.636265	0.893914	0.897745	1.35852	0.152101	0.352097508	0.983791834	0.700958087	-0.138475966
1	39497	0.62045	0.161155	12.8556	1.20215	0.120814	39.7826	23.3385	51.764	17.4092	0.813293	34.952	37.2642	0.359948	1.46336	1.36305	0.0807848	1.01791	0.874479	0.0195339	0.0485951	0.0272415	0.0378194	0.00429088	0.613424	0.00424058	0.0368825	0.0235763	0.0195676	0.0012778	0.954842	4.01765	0.630734	0.871187	0.888495	1.32648	0.184652	0.286109917	1.014944318	0.832894054	-0.067728004
2	40912	0.652913	0.191638	12.9186	1.19521	0.105694	39.1564	23.5784	53.1237	17.0522	0.821992	36.5076	35.1819	0.359586	1.53738	1.3071	0.0768154	1.03407	0.915068	0.0216824	0.04511	0.026891	0.0348703	0.00421791	0.62949	0.00520695	0.0392024	0.0276819	0.0220017	0.00127805	0.955522	3.5383	0.639204	0.908082	0.938173	1.24246	0.213343	0.429057681	1.03590133	0.712534415	-0.096038041
3	46837	0.659763	0.212327	12.9922	1.16153	0.103541	38.1261	22.5551	53.25	17.7314	0.797013	34.5672	36.0776	0.357396	1.34924	1.18904	0.0815746	1.00606	0.890159	0.0218529	0.0488212	0.0243403	0.0366713	0.00427289	0.589255	0.00520979	0.0402261	0.024214	0.0173038	0.00132287	0.909972	3.97546	0.620316	0.89401	0.956585	1.21253	0.131207	0.357047487	0.994580409	1.328101788	-0.037627614
4	45836	0.706163	0.189904	12.7092	1.24264	0.110402	38.2613	22.066	53.6912	16.2892	0.808401	37.7555	37.5472	0.361486	1.54961	1.45195	0.0784849	1.05417	0.943844	0.0192129	0.0487113	0.0270939	0.0428177	0.00426516	0.605163	0.00514555	0.0377363	0.0410709	0.0223654	0.00143301	0.639799	3.6826	0.649514	0.877193	0.930294	1.48908	0.21078	0.612898711	1.001036412	0.66643842	-0.230922895
5	39394	0.62703	0.17956	12.5409	1.20414	0.0992323	38.6151	23.0265	53.9154	16.9164	0.803995	37.232	38.8473	0.352302	1.52469	1.41912	0.0729652	1.03448	0.881066	0.0198477	0.0498397	0.0258885	0.0384696	0.00411363	0.627407	0.00436248	0.0373439	0.0229828	0.0179314	0.00132775	0.948057	3.83578	0.630727	0.842503	0.899353	1.29726	0.14554	0.69172494	1.093344593	0.668422784	-0.031087411
6	28101	0.593422	0.203448	13.1286	1.27171	0.0851372	37.8956	21.725	52.2632	18.1701	0.807837	36.3274	38.407	0.361578	1.54408	1.49697	0.0769492	1.00593	0.906036	0.0191371	0.0484361	0.0289577	0.0417393	0.00392477	0.571907	0.00541405	0.0355985	0.0251335	0.0175725	0.00128412	0.867061	3.93771	0.641148	0.908911	0.941218	1.32635	0.14972	0.349636563	0.952640551	0.976142153	-0.170358967
7	19697	0.64944	0.179937	12.8103	1.19157	0.075612	39.7926	23.8514	55.0343	17.8349	0.843346	38.0585	30.5738	0.37332	1.81723	1.22037	0.0608018	1.02188	0.902449	0.0180334	0.0534372	0.0233259	0.033582	0.0040806	0.612504	0.00496659	0.0407088	0.0274474	0.0171991	0.0014037	0.778551	3.22584	0.661792	0.887437	0.991887	1.21488	0.123885	0.664558755	0.929166934	1.219944924	0.197118593
8	43628	0.706606	0.207972	12.7371	1.21945	0.114033	38.6102	22.6539	54.5539	16.5037	0.808781	37.9548	38.5971	0.353581	1.47664	1.43397	0.0868849	1.10045	0.991858	0.0188054	0.0475289	0.0277581	0.0417917	0.00398982	0.633223	0.00640544	0.0379444	4.00E-02	0.0293298	0.00150628	0.758322	4.03421	0.666961	0.838376	0.937739	1.50299	0.286351	0.560833233	0.91492234	0.711852629	-0.210153885
9	30589	0.640965	0.197391	12.9183	1.21583	0.07514	38.2701	22.8008	52.3849	18.7064	0.807016	35.2841	36.8456	0.362398	1.51433	1.33018	0.0760755	1.03087	0.936239	0.0205413	0.0526312	0.0294196	0.034139	0.00414911	0.654971	0.00517023	0.0320466	0.0302617	0.0200068	0.00127075	0.979097	3.83774	0.665596	0.861784	0.87405	1.40682	0.21972	0.365409887	1.010118693	0.510825373	-0.180606098
10	39636	0.683307	0.223758	12.6917	1.23613	0.112891	38.4039	22.9241	53.7144	16.7228	0.7972	36.383	36.9729	0.357385	1.41409	1.34624	0.0832864	1.08861	0.981029	0.0204435	0.0478414	0.0279016	0.0416457	0.00415569	0.595272	0.0052414	0.0377305	0.0390231	0.023831	0.0013818	0.664698	3.91322	0.658309	0.893666	0.927077	1.38515	0.247955	0.288367691	0.939816485	0.940947822	-0.134463982
