    520301	    512616	    513609	    512711	    510907	    508176	    504640	    506464	    507706	    506343	    502263	    490028	    500689	    482895	    475444	    482149	    476168	    479656	    479943	    493651	    527849	    542164	    557044	    570445	    571795	    563008	    565264	    570489	    579314	    586627	    589655	    590281	    587719	    582052	    583354	    585117	    585921	    586605	    590012	    593716	    597243	    600538	    603579	    606407	    609105	    611730	
    503866	    507580	    500784	    501570	    500446	    498224	    494827	    492835	    493117	    492844	    489510	    482363	    477932	    487733	    469448	    461770	    467651	    460931	    463595	    463615	    477302	    511355	    527681	    543724	    558332	    561792	    554977	    557009	    562454	    571339	    578754	    581952	    582703	    580253	    574711	    576544	    578332	    578044	    578598	    582157	    586008	    589679	    593117	    596300	    599270	    602106	
    488611	    498557	    502271	    495729	    496116	    494571	    491763	    491373	    488444	    487310	    485753	    480757	    480752	    476880	    486283	    467890	    459929	    461562	    454873	    457397	    457345	    471264	    506579	    523052	    539320	    554367	    558472	    551556	    553785	    559254	    568123	    575547	    578771	    579527	    577086	    571815	    573714	    575067	    574684	    575300	    578913	    582815	    586536	    590023	    593256	    596275	
    471371	    486512	    496303	    500032	    493507	    493296	    491126	    489677	    488426	    484409	    481747	    478822	    479806	    479392	    476061	    485362	    466895	    456011	    457630	    450906	    453354	    453454	    468164	    503429	    519953	    536391	    551652	    556099	    549373	    551697	    557199	    566092	    573544	    576801	    577588	    575286	    570049	    571728	    573001	    572664	    573318	    576963	    580897	    584650	    588168	    591431	
    452217	    470240	    485238	    494983	    498676	    492106	    491246	    489589	    487389	    485235	    480094	    475878	    478558	    478706	    477967	    475222	    484437	    463760	    452908	    454463	    447717	    450246	    450808	    465570	    500823	    517437	    534019	    549806	    554368	    547773	    550180	    555735	    564674	    572172	    575479	    576343	    574053	    568717	    570343	    571640	    571326	    572000	    575662	    579613	    583381	    586915	
    434183	    451388	    469318	    484267	    493969	    497626	    491009	    490150	    487973	    485020	    481966	    475705	    476792	    478420	    477849	    476761	    474577	    481859	    461212	    450334	    451844	    445180	    448008	    448648	    463470	    498745	    515457	    532493	    548341	    552983	    546482	    548957	    554558	    563535	    571069	    574428	    575301	    572954	    567602	    569242	    570551	    570251	    570936	    574608	    578567	    582345	
    419448	    433477	    450639	    468532	    483445	    493116	    496748	    490552	    489174	    486486	    482792	    478848	    477498	    478082	    478770	    477416	    475966	    472586	    479800	    459136	    448246	    449796	    443442	    446336	    447048	    461932	    497250	    514135	    531216	    547106	    551806	    545380	    547909	    553543	    562544	    570107	    573472	    574315	    571972	    566633	    568280	    569597	    569305	    569997	    573674	    577638	
    410046	    418819	    432843	    449980	    467846	    482735	    492386	    495537	    490291	    488404	    485214	    480787	    481311	    479774	    479950	    479620	    477483	    474487	    471050	    478174	    457510	    446670	    448577	    442301	    445246	    446025	    460976	    496066	    512980	    530090	    546007	    550752	    544387	    546954	    552608	    561627	    569191	    572542	    573398	    571065	    565737	    567390	    568713	    568427	    569125	    572806	
    404526	    409474	    418265	    432274	    449393	    467241	    482113	    491294	    494438	    490146	    487755	    484069	    484114	    484219	    482571	    482261	    480921	    476446	    473389	    469880	    476938	    456327	    445946	    447909	    441683	    444679	    445526	    459907	    494995	    511922	    529048	    544986	    549768	    543448	    546044	    551720	    560735	    568284	    571647	    572512	    570188	    564870	    566528	    567856	    567576	    568279	
    400460	    403998	    408968	    417752	    431749	    448855	    466689	    480913	    490086	    493224	    489888	    486996	    488000	    487719	    487465	    485640	    484850	    480240	    475712	    472581	    469018	    476069	    455974	    445662	    447652	    441476	    444526	    444517	    458914	    493991	    510921	    528063	    544019	    548828	    542547	    545180	    550845	    559843	    567404	    570775	    571648	    569333	    564024	    565687	    567020	    566746	
