   386.463	   383.802	   388.802	   404.177	   420.708	   432.236	   442.252	   453.252	   464.234	   478.403	   499.777	   533.201	   586.368	   655.023	   741.986	   845.134	    950.89	   1012.99	   1023.17	    1021.5	   991.426	   924.215	   844.179	   768.607	   700.926	   642.629	   581.448	   541.506	   510.882	   487.873	   471.235	   458.057	   453.212	   468.237	   508.689	   473.877	   443.592	   457.305	   485.696	   522.187	   561.344	   584.746	   593.916	   591.686	   583.849	    576.27	
   655.482	   590.152	   554.616	   547.245	   551.363	   561.961	   584.965	   646.328	   740.304	   872.303	   1043.91	   1255.96	   1481.05	   1719.88	   1978.16	   2261.89	   2549.43	   2753.77	   2828.62	   2866.63	   2789.98	   2579.02	   2318.07	   2047.95	   1796.21	   1583.63	    1373.2	   1207.48	   1092.25	   1010.82	   949.499	   903.814	   878.841	   880.083	   915.475	   831.741	   765.517	   755.603	   761.795	   791.235	   850.747	   901.299	   939.453	   967.864	   980.754	   970.077	
    607.68	   649.298	   672.947	   703.944	   739.916	   782.689	   841.765	   950.639	   1108.92	   1332.01	   1641.17	   2063.48	   2578.68	   3199.68	   3939.82	   4784.16	   5642.55	   6324.12	   6676.41	   6924.38	   6875.75	   6507.47	   6040.38	   5541.05	   5026.09	   4523.36	    3945.6	   3406.38	   3017.42	   2719.03	   2466.38	   2236.49	   2054.92	   1955.84	   1937.61	   1638.78	   1483.96	   1470.12	   1454.22	   1461.48	      1502	   1502.46	    1478.4	   1453.07	   1430.45	   1415.24	
    518.58	   623.383	   698.998	   777.935	   867.086	   972.876	    1110.7	   1311.23	   1573.67	   1907.43	   2326.82	   2854.82	   3484.86	   4216.94	      5091	   6131.13	   7269.03	   8289.73	   9034.69	    9739.2	   10013.6	   9750.06	   9185.28	   8494.09	   7749.11	   7030.05	   6215.91	    5481.2	   5005.59	   4651.45	   4329.42	    4013.9	    3723.5	   3538.41	   3461.59	   2889.84	   2578.84	   2489.63	    2395.1	   2351.45	   2376.96	   2354.76	   2306.55	   2232.51	   2145.49	   2056.66	
   549.739	   644.035	   721.371	   807.551	   908.464	   1034.38	    1205.3	   1456.13	   1789.36	   2215.39	   2744.68	   3388.57	   4133.56	   4965.93	   5910.81	   6972.68	   8062.74	   8962.85	   9528.35	   10066.7	   10226.3	   9956.93	   9466.72	   8916.63	   8310.71	   7663.89	   6835.83	   6027.46	   5472.59	   5045.95	   4700.66	   4418.76	   4216.75	   4162.27	   4241.14	    3710.3	    3458.6	   3425.22	    3338.9	   3287.21	   3305.68	   3222.62	   3096.51	   2953.52	   2810.04	   2676.76	
   617.356	   670.193	   725.178	   802.345	   900.307	   1022.05	   1185.01	   1417.76	   1725.82	   2121.77	   2621.67	   3241.32	   3968.97	   4795.63	   5743.01	   6802.98	   7869.44	    8741.5	   9280.32	   9762.74	   9834.74	   9467.85	   8854.18	   8196.39	   7526.01	   6877.31	    6131.7	   5473.22	   5055.02	    4734.2	   4460.07	   4219.82	   4030.13	   3968.89	   4048.05	    3629.5	   3483.05	   3563.93	   3623.45	   3727.74	   3901.28	   3945.95	   3890.28	   3767.81	   3606.88	   3430.82	
    693.97	    756.75	    799.26	   842.803	   888.282	   945.712	   1036.45	   1191.18	   1415.44	   1719.58	   2111.56	   2601.45	   3170.66	   3809.65	   4535.81	   5353.07	   6193.75	   6934.69	   7445.06	   7928.42	   8086.59	   7878.86	   7432.38	   6939.05	   6415.77	   5884.54	   5255.25	    4685.5	    4301.4	   3996.63	   3752.58	   3567.35	   3457.05	   3475.69	   3627.17	   3379.38	   3311.74	   3393.45	   3445.49	   3546.92	   3744.65	   3856.83	   3923.75	   3958.11	   3956.64	   3912.05	
   592.937	   710.159	   788.935	   860.396	   923.732	   978.508	    1035.1	   1111.13	   1213.47	   1355.09	   1554.42	   1830.69	    2188.6	   2623.64	   3145.59	   3743.71	   4363.06	    4915.3	   5306.06	   5684.09	    5854.1	   5787.87	   5556.45	   5290.69	   4996.14	      4681	   4269.86	   3886.76	   3631.12	    3420.8	   3243.57	   3101.96	   3009.66	    3012.9	   3126.73	   2937.47	   2902.55	   3008.42	   3117.38	   3284.95	   3534.25	   3687.17	   3769.36	   3802.82	   3806.62	   3798.57	
   527.561	   686.142	   780.162	   843.557	   884.078	   911.141	   942.112	   989.729	   1063.26	   1164.93	   1295.25	   1455.61	   1646.39	      1856	   2101.76	   2399.01	    2736.7	   3078.36	   3362.44	   3671.47	   3864.31	   3900.69	   3811.28	   3688.11	   3540.25	   3379.66	   3153.65	   2945.91	   2819.39	    2720.3	   2640.63	    2580.6	   2556.67	   2606.81	   2746.08	   2624.89	   2597.47	   2669.96	   2740.85	   2861.42	   3061.72	   3203.39	   3316.88	   3416.12	   3500.87	   3564.15	
   369.135	   557.355	   674.797	     763.5	   829.227	   870.421	   895.626	   912.268	   931.433	   961.844	   1013.62	    1095.2	   1214.89	      1365	   1547.74	   1753.83	    1956.1	   2112.08	   2198.51	   2294.44	   2349.03	   2352.36	   2321.33	   2297.11	   2270.06	   2233.31	   2147.47	    2063.7	      2016	    1979.9	   1956.59	   1949.46	   1973.84	   2055.95	   2211.36	   2169.71	   2172.87	    2250.2	   2331.57	   2452.31	   2629.93	   2749.22	   2829.05	   2882.91	   2922.15	   2957.31	
   353.625	   552.826	   654.884	   705.541	   722.901	   724.989	   730.445	   745.813	   774.229	   813.437	   860.853	   916.451	   981.669	   1050.85	   1133.66	   1235.26	   1349.21	   1453.08	   1527.49	   1612.34	   1654.07	   1636.37	   1568.22	   1497.98	   1433.56	   1384.96	   1332.93	   1304.18	   1305.66	   1320.93	   1343.27	   1372.64	   1417.07	   1495.24	   1623.25	   1616.94	   1625.13	   1691.93	   1774.37	   1891.85	   2053.39	   2169.53	   2253.88	   2316.54	   2362.69	   2396.64	
   209.016	   423.361	   548.769	   628.003	   674.382	   690.482	   684.585	    668.12	   650.191	   637.167	   639.378	   663.696	   714.407	     782.5	   866.546	   959.026	   1045.38	    1094.4	   1105.36	   1118.57	   1116.78	   1094.35	   1056.69	   1029.92	   1007.44	   984.693	    944.85	    910.69	   884.481	   866.523	   860.968	   872.093	    906.55	   971.858	   1076.27	   1096.84	   1105.25	   1147.27	   1206.81	   1289.28	   1401.78	   1490.43	   1563.22	    1624.7	   1677.38	   1722.06	
    68.878	   160.128	   254.672	   339.393	   408.259	    457.39	   490.032	   501.646	   511.393	   522.185	   532.815	   542.719	   560.079	   577.683	   600.496	   636.073	   683.472	   723.359	   752.065	   782.849	    797.18	   781.795	   740.575	   698.294	   659.938	   630.419	   602.182	   587.366	   585.075	   589.833	   596.228	   602.748	   612.713	    632.43	   671.302	   662.641	   644.516	   658.212	   696.904	   754.257	   828.901	   889.772	   937.817	   976.753	   1009.12	    1038.3	
   8.53102	   22.6442	   40.6545	    63.594	   91.6625	   124.764	   163.207	   207.984	   245.881	   278.419	   307.602	   335.631	   360.114	    388.54	   422.064	   457.248	    485.71	   497.046	   490.713	   481.831	   473.053	   460.072	   445.451	   435.691	   427.403	   418.032	   400.894	   377.935	   359.147	   345.551	   337.962	    337.49	   347.073	    368.03	   401.845	   400.725	   377.347	   366.509	   369.528	   379.962	   400.667	   420.852	   442.228	   464.817	   487.509	    508.66	
  0.408045	   1.40231	   2.95717	    5.2313	   8.50516	   12.7897	   18.6814	   30.6699	   45.1912	    62.488	   83.3745	   108.875	   135.442	   160.433	   185.105	   210.573	   235.275	   252.442	   264.387	     274.4	   279.198	   271.364	   255.059	    237.68	   222.214	   211.324	   202.838	    190.62	   183.317	   178.972	   175.422	   172.093	   170.095	   170.999	   177.144	   168.099	   150.238	   143.828	   149.031	   157.638	    167.85	   173.642	   175.255	    174.34	   173.007	   173.501	
0.00360988	 0.0697755	  0.177976	   0.34788	  0.577803	  0.867685	   1.24546	   1.88121	   3.02562	   4.87609	   7.48257	   11.2604	   16.4153	   22.8271	   30.7867	   40.7955	   52.9492	   65.9306	   75.0529	   81.9971	   88.3774	   92.3769	    93.126	   92.9602	   92.6124	   91.6644	   88.7403	   86.5985	   83.4936	   80.4312	   78.0833	    76.916	   77.4576	   79.8223	   84.3322	   78.7869	   65.4561	   57.5637	      55.6	   54.8602	   55.4602	   55.9506	   56.6847	   57.5995	   58.3078	   58.4393	
         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	
         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	         	
   220.726	   238.746	   257.793	   281.265	   306.284	   330.723	   359.852	   393.658	   435.258	     487.2	   550.896	   628.117	   720.081	   823.953	   942.243	   1071.67	   1195.32	   1262.21	   1260.89	   1241.74	   1188.38	   1092.94	   988.153	   890.375	   800.512	    721.19	   637.807	   579.554	   536.405	   503.084	   475.029	   449.115	    430.41	   432.392	   457.591	   422.781	   395.791	   405.059	   425.014	   449.219	   473.592	   488.102	   492.631	   488.295	   479.421	   470.364	
   366.813	   353.996	   349.709	    358.68	   378.111	   410.198	    469.26	   565.069	   708.213	   912.272	   1188.44	   1547.07	   1961.21	   2428.33	   2948.67	   3516.62	   4085.39	    4531.8	   4769.02	   4917.04	   4819.43	   4474.07	   4018.08	   3534.72	   3060.82	   2635.92	    2198.5	   1846.09	   1624.08	   1463.86	   1314.23	    1173.3	   1057.58	   987.897	   964.464	   830.112	   742.356	    723.25	    719.32	   730.058	   760.623	   783.733	   799.526	   810.414	   811.579	   796.236	
   328.811	   362.015	   384.754	   410.551	   441.212	   480.458	   541.465	   635.434	   774.208	   974.176	   1258.62	   1659.59	    2182.9	   2863.71	   3737.76	    4803.5	   5971.43	   7044.59	    7817.3	   8435.05	   8573.05	    8249.7	   7710.61	   7082.26	   6371.91	   5601.67	   4697.54	   3862.82	   3333.86	   2953.08	   2607.16	   2270.08	   1973.76	   1772.38	   1656.23	   1345.97	   1171.07	   1126.81	   1092.23	   1070.45	   1068.19	    1045.2	   1011.58	   980.547	   955.051	   938.599	
    277.15	   332.202	   372.243	    411.01	   452.454	   501.598	   575.065	   679.363	   826.604	   1029.01	   1300.84	   1660.36	   2114.99	   2674.85	   3374.36	   4241.79	   5247.08	   6269.28	   7191.31	   8121.97	    8640.6	   8642.87	   8270.36	   7691.38	   6972.11	   6190.75	   5275.73	   4433.74	   3931.37	   3574.43	   3242.89	    2933.3	   2645.46	   2445.46	   2332.45	   1928.59	    1679.5	   1595.31	   1525.87	   1475.94	   1458.99	   1424.42	   1382.22	   1327.81	   1269.36	   1213.42	
   289.904	    332.05	   366.605	   403.207	   442.837	   489.292	   557.678	    654.08	   791.395	   982.913	   1243.28	   1590.68	   2039.85	   2595.77	   3280.96	   4099.24	    4993.6	   5817.48	    6461.7	   7067.81	   7362.49	   7318.98	   7067.95	   6721.86	   6267.25	    5703.1	   4945.21	   4181.02	   3685.08	   3315.09	   3010.97	   2776.51	   2610.29	   2551.99	   2591.71	    2294.8	   2124.87	   2106.76	   2074.12	   2036.31	   2023.49	   1958.96	   1873.12	   1779.51	   1686.95	   1601.66	
