0.001	-112.341
0.001	209.027
0.001	328.469
0.00200012	373
0.0033295	409.826
0.00107424	449.352
0.00582113	455.958
0.0177708	461.071
0.101598	457.975
0.128345	461.434
0.157111	462.846
0.201172	462.817
0.0271155	468.27
0.0848314	466.752
0.150252	465.905
0.0518614	468.131
0.19708	466
0.210292	465.972
0.118882	468.078
0.0630004	469.898
0.260417	467.677
0.0300543	473.69
0.119193	471.231
0.00510841	476.79
0.143814	471.432
0.174898	471.083
0.217296	470.763
0.17604	471.378
0.238818	470.907
0.213718	471.845
0.257203	471.627
0.174911	472.481
0.236044	472.017
0.200415	472.461
0.265041	472.035
0.16817	473.222
0.202616	472.951
0.166285	473.449
0.0427602	475.81
0.277647	473.042
0.207431	473.506
0.326952	472.862
0.313236	473.217
0.354178	473.017
0.0961779	475.029
0.36548	473.125
0.0814926	475.413
