    520301	    512616	    513608	    512707	    510895	    508143	    504576	    506362	    507565	    506168	    502064	    489820	    500491	    482734	    475347	    482155	    476322	    480000	    480489	    494424	    528896	    543429	    558431	    571857	    573152	    564261	    566401	    571527	    580293	    587603	    590636	    591249	    588653	    582917	    584137	    585813	    586541	    587770	    591558	    595714	    599634	
    503866	    507580	    500783	    501567	    500434	    498182	    494727	    492654	    492846	    492495	    489111	    481949	    477541	    487387	    469181	    461597	    467587	    461001	    463807	    463960	    477778	    511994	    528454	    544592	    559230	    562735	    555998	    558034	    563407	    572267	    579693	    582914	    583660	    581178	    575570	    577324	    579029	    578664	    579754	    583689	    587990	
    488611	    498557	    502271	    495727	    496113	    494557	    491711	    491251	    488226	    486988	    485343	    480296	    480284	    476445	    485907	    467605	    459746	    461488	    454925	    457573	    457626	    471645	    507083	    523667	    540016	    555101	    559320	    552539	    554772	    560181	    569028	    576479	    579735	    580484	    578012	    572676	    574496	    575765	    575305	    576455	    580443	
    471371	    486512	    496303	    500032	    493505	    493293	    491109	    489620	    488293	    484174	    481403	    478388	    479322	    478904	    475611	    484976	    466605	    455825	    457550	    450945	    453509	    453700	    468495	    503868	    520490	    537009	    552343	    556946	    550341	    552671	    558112	    566990	    574477	    577765	    578545	    576212	    570911	    572511	    573701	    573286	    574473	
    452217	    470240	    485238	    494983	    498676	    492105	    491243	    489571	    487327	    485094	    479847	    475519	    478107	    478206	    477466	    474763	    484044	    463465	    452716	    454376	    447743	    450380	    451024	    465863	    501213	    517918	    534603	    550501	    555209	    548731	    551142	    556641	    565572	    573105	    576444	    577301	    574980	    569579	    571127	    572340	    571949	
    434183	    451388	    469318	    484267	    493969	    497626	    491007	    490146	    487953	    484955	    481818	    475448	    476420	    477956	    477336	    476248	    474109	    481459	    460911	    450135	    451747	    445192	    448120	    448836	    463728	    499092	    515906	    533074	    549031	    553814	    547428	    549913	    555464	    564433	    572004	    575394	    576260	    573882	    568465	    570025	    571252	
    419448	    433477	    450639	    468532	    483445	    493116	    496748	    490550	    489170	    486465	    482723	    478693	    477230	    477697	    478292	    476891	    475444	    472111	    479394	    458830	    448041	    449689	    443439	    446427	    447208	    462158	    497570	    514575	    531787	    547785	    552621	    546315	    548862	    554447	    563443	    571042	    574438	    575274	    572899	    567495	    569064	
    410046	    418819	    432843	    449980	    467846	    482735	    492386	    495537	    490290	    488399	    485191	    480714	    481148	    479496	    479553	    479130	    476947	    473956	    470570	    477765	    457201	    446461	    448461	    442283	    445316	    446159	    461179	    496378	    513404	    530644	    546667	    551552	    545315	    547906	    553513	    562526	    570127	    573509	    574358	    571993	    566600	
    404526	    409474	    418265	    432274	    449393	    467241	    482113	    491294	    494438	    490145	    487750	    484044	    484037	    484049	    482283	    481852	    480420	    475900	    472852	    469395	    476528	    456017	    445732	    447784	    441650	    444726	    445641	    460104	    495292	    512323	    529576	    545626	    550558	    544373	    546995	    552624	    561634	    569220	    572614	    573471	    571116	
    400460	    403998	    408968	    417752	    431749	    448855	    466689	    480913	    490086	    493224	    489887	    486990	    487973	    487638	    487288	    485341	    484430	    479728	    475158	    472039	    468532	    475658	    455662	    445442	    447516	    441426	    444560	    444629	    459098	    494266	    511291	    528566	    544646	    549611	    543469	    546129	    551749	    560742	    568340	    571741	    572608	
    394762	    399970	    403517	    408483	    417259	    431246	    448339	    465070	    479282	    488447	    491579	    489196	    491271	    491923	    491304	    490546	    488422	    484020	    479279	    474645	    471467	    467960	    475540	    455616	    445428	    447529	    441500	    443586	    443667	    458136	    493278	    510314	    527620	    543721	    548716	    542619	    545274	    550876	    559882	    567484	    570893	
    386418	    394283	    399476	    403018	    407977	    416745	    430720	    446042	    462759	    476959	    486114	    489239	    493645	    495333	    495681	    494740	    493550	    488192	    483738	    478908	    474172	    470953	    467815	    475419	    455559	    445428	    447594	    440420	    442545	    442657	    457131	    492260	    509331	    526682	    542815	    547838	    541748	    544395	    550017	    559025	    566631	
    374426	    385920	    393737	    398923	    402460	    407413	    416171	    427699	    443007	    459708	    473893	    483037	    491393	    497793	    499124	    499157	    497885	    493634	    488247	    483721	    478801	    474025	    471102	    467994	    475607	    455808	    445738	    446526	    439401	    441554	    441680	    456160	    491282	    508371	    525768	    541924	    546945	    540855	    543544	    549171	    558181	
    360391	    373878	    385289	    393098	    398278	    401811	    406759	    412711	    424227	    439520	    456205	    470376	    485051	    493397	    501816	    502779	    502486	    498355	    494088	    488648	    484053	    479093	    474654	    471747	    468659	    476285	    456550	    444655	    445486	    438397	    440563	    440703	    455192	    490295	    507404	    524841	    540993	    545995	    539959	    542668	    548303	
    346400	    359762	    373137	    384538	    392341	    397519	    401051	    403504	    409452	    420959	    436238	    452908	    472670	    487332	    495695	    506106	    506700	    503399	    499259	    494954	    489475	    484842	    480489	    476056	    473160	    470093	    477739	    455420	    443572	    444432	    437365	    439541	    439696	    454186	    489272	    506405	    523845	    539960	    544999	    538997	    541729	
    334790	    345686	    358917	    372279	    383670	    391469	    396646	    398828	    401285	    407231	    418729	    433995	    455954	    475698	    490376	    498709	    511128	    508134	    504823	    500660	    496347	    490835	    487373	    483015	    478590	    475709	    472670	    478188	    455926	    444116	    444989	    437940	    440127	    440289	    454780	    489858	    506976	    524373	    540504	    545561	    539597	
    326492	    333983	    344738	    357954	    371300	    382680	    390474	    396034	    398221	    400683	    406629	    418117	    437971	    459905	    479664	    494287	    502634	    513008	    509999	    506677	    502537	    498196	    494627	    491152	    486799	    482387	    479528	    485887	    491420	    469209	    457426	    458306	    451276	    453465	    453637	    468141	    503160	    520206	    537616	    553750	    558828	
