AdultTestsAgeSex				
0.09596	0.26797	0.48139	0.10002	0.05466
0.09251	0.27212	0.48465	0.09929	0.05144
0.09209	0.26776	0.48895	0.10193	0.04928
0.09205	0.24978	0.49901	0.10864	0.05052
ObsHCTprevAgeSex				
0.02409	0.02849	0.05662	0.02592	0.09590
0.01904	0.02338	0.05111	0.02457	0.08404
0.01463	0.01940	0.04520	0.02413	0.07277
0.01715	0.01900	0.04064	0.02879	0.06331
ObservedPrevHCT, SEprevHCT		
2004	0.3826	0.0244
2005	0.3825	0.0198
2006	0.3474	0.0179
2007	0.3404	0.0159
2008	0.3404	0.0139
2010	0.1849	0.0068
2012	0.1471	0.0055
2015	0.1187	0.0046
2016	0.1013	0.0040
2017	0.0909	0.0037
2018	0.0698	0.0031
2019	0.0537	0.0027
2020	0.0439	0.0025
2021	0.0387	0.0024
2022	0.0339	0.0023
2023	0.0320	0.0022
