AdultTestsAgeSex				
0.05695	0.21814	0.48072	0.10163	0.14257
0.06916	0.20951	0.50297	0.10360	0.11476
0.07971	0.20853	0.51253	0.10585	0.09338
0.08949	0.21216	0.49544	0.10757	0.09534
ObsHCTprevAgeSex				
0.04947	0.02608	0.05302	0.03539	0.05167
0.02690	0.02265	0.04666	0.03557	0.04546
0.01655	0.01995	0.04298	0.03151	0.04352
0.01508	0.02051	0.04557	0.03649	0.04247
ObservedPrevHCT, SEprevHCT		
2004	0.1525	0.0101
2005	0.1464	0.0089
2006	0.0883	0.0041
2007	0.1715	0.0089
2008	0.1414	0.0073
2010	0.0831	0.0035
2012	0.0811	0.0036
2015	0.0593	0.0029
2016	0.0559	0.0028
2017	0.0467	0.0025
2018	0.0428	0.0025
2019	0.0393	0.0024
2020	0.0416	0.0025
2021	0.0366	0.0023
2022	0.0332	0.0023
2023	0.0343	0.0023

