0	51749	0.312390	0.062377	10.293300	1.205500	0.215794	37.710600	20.459000	44.445900	18.529400	0.822955	24.060500	28.264500	0.515378	1.567030	0.757941	0.292422	0.462546	1.003710	0.022500	0.025833	0.050141	0.056102	0.003302	0.740208	0.000580	0.004131	0.060086	0.179615	0.001059	0.985488	1.974900	0.445966	1.181130	1.179960	0.737076	0.012394	0.352098	0.983792	0.777991	-0.138476	0.233956	0.002640	66.774000	1.097340
1	50069	0.326963	0.082526	10.376400	1.188610	0.186375	37.627800	20.506800	46.958300	18.752900	0.798263	23.176900	28.378100	0.484430	1.422150	0.767943	0.270874	0.427882	0.930336	0.022778	0.025454	0.051583	0.052531	0.002972	0.716261	0.000954	0.004016	0.051653	0.174065	0.001327	0.975890	1.924770	0.559302	1.203880	1.149560	0.782239	0.013880	0.286110	1.014944	0.887614	-0.067728	0.305765	0.002035	72.858200	1.170310
2	50997	0.323152	0.068823	10.282000	1.187700	0.186473	37.407800	20.378900	41.695100	19.094600	0.850530	24.079300	29.740800	0.502061	1.548490	0.692985	0.283399	0.443149	0.951783	0.023547	0.024855	0.050496	0.052114	0.003289	0.716608	0.001160	0.001551	0.061823	0.199937	0.000833	0.928370	2.240570	0.821405	1.154380	1.146520	0.751400	0.015561	0.429058	1.035901	0.787736	-0.096038	0.310654	0.003064	40.486400	1.149040
3	51894	0.324592	0.072513	10.392900	1.180830	0.198446	37.454600	20.201800	43.745200	18.298600	0.813744	24.329700	29.095800	0.509565	1.479370	0.726184	0.286343	0.438986	0.952888	0.023606	0.025674	0.051824	0.053407	0.003160	0.715769	0.000873	0.001628	0.064357	0.109666	0.000828	0.816113	1.935580	0.640327	1.309430	1.275140	0.769006	0.013989	0.357047	0.994580	1.279003	-0.037628	0.073086	0.002055	60.732700	1.138830
4	51894	0.348701	0.085313	10.244600	1.167190	0.195632	37.244700	20.545900	43.745200	18.298600	0.813744	24.329700	29.095800	0.509565	1.479370	0.726184	0.286343	0.430708	0.947495	0.024250	0.026111	0.052232	0.049949	0.003117	0.695974	0.000752	0.002540	0.054795	0.114769	0.001074	0.931439	1.935580	0.607138	1.270900	1.162080	0.733683	0.019200	0.612899	1.001036	0.748769	-0.230923	0.286662	0.002478	65.058000	1.127730
5	49823	0.322988	0.068887	10.248200	1.184210	0.187338	37.532600	20.355100	44.333600	18.991400	0.846341	25.373200	29.977700	0.526352	1.475740	0.888001	0.291477	0.443200	0.951055	0.023301	0.024499	0.051960	0.052140	0.003240	0.724687	0.000818	0.002233	0.053913	0.149717	0.000953	0.975140	1.936050	0.679837	1.251140	1.140360	0.765933	0.015429	0.691725	1.093345	0.750456	-0.031087	0.227010	0.001327	117.492000	1.160170
6	47040	0.335650	0.068749	10.168700	1.218490	0.197295	37.817100	20.384800	45.169300	18.876800	0.830971	25.466300	30.065300	0.515039	1.388170	0.831213	0.279955	0.450511	0.983480	0.023441	0.026845	0.051748	0.053393	0.003127	0.729234	0.000808	0.003551	0.061360	0.161467	0.001319	0.964265	2.026450	0.453715	1.224470	1.215770	0.731756	0.013622	0.349637	0.952641	1.003601	-0.170359	0.361305	0.000770	151.950000	1.128010
7	35958	0.292455	0.059434	10.380200	1.204100	0.223712	37.981600	20.506900	40.833300	17.609100	0.946077	23.328300	27.934300	0.521793	1.859960	0.902858	0.284672	0.462749	1.002080	0.022823	0.025002	0.048167	0.057925	0.003300	0.735793	0.000713	0.002142	0.049370	0.101318	0.001024	0.977596	2.551940	0.656958	1.197140	1.052970	0.768466	0.012882	0.664559	0.929167	1.195566	0.197119	0.228299	0.001943	87.672800	1.117500
8	51690	0.331710	0.089306	10.491500	1.175030	0.171149	37.304400	20.035000	43.819700	18.475200	0.847291	22.205800	28.159200	0.495716	1.675970	0.881519	0.290986	0.410358	0.888177	0.024587	0.025424	0.053530	0.052805	0.002965	0.681948	0.000633	0.001363	0.052378	0.190209	0.000919	0.905665	2.039950	0.586272	1.195820	1.109380	0.832456	0.016314	0.560833	0.914922	0.787163	-0.210154	0.343714	0.002770	39.669200	1.122700
9	48025	0.326963	0.082526	10.376400	1.188610	0.186375	37.627800	20.506800	42.394600	18.755200	0.893584	23.710700	30.567900	0.530707	1.187960	0.757164	0.285358	0.427882	0.930336	0.022778	0.025454	0.051583	0.052531	0.002972	0.716261	0.000389	0.002485	0.054139	0.131553	0.001085	0.985057	2.883670	0.609436	1.174540	1.094590	0.782239	0.013332	0.365410	1.010119	0.613479	-0.180606	0.141907	0.001305	88.859100	1.106130
10	50302	0.388356	0.086745	10.241100	1.200250	0.192960	37.446000	20.403200	42.801800	19.251600	0.832288	23.100700	29.753500	0.492104	1.480480	0.732333	0.289160	0.416044	0.947472	0.024614	0.025794	0.053845	0.051874	0.002949	0.713555	0.001013	0.002059	0.057250	0.104746	0.000986	0.935230	2.035590	0.628396	1.234850	1.140040	0.772689	0.014858	0.288368	0.939816	0.975357	-0.134464	0.265992	0.004564	33.482000	1.114170
11	48087	0.323120	0.075272	10.484900	1.154490	0.185563	37.076400	19.545400	41.184600	18.532700	0.869629	23.809100	28.943000	0.515666	1.566900	0.686530	0.290627	0.431694	0.932091	0.025013	0.023968	0.056481	0.053857	0.003189	0.713459	0.000788	0.002058	0.052044	0.129115	0.000982	0.951975	2.358550	0.458450	1.229550	1.131260	0.846876	0.018682	0.237807	0.919516	1.179609	-0.184696	0.411575	0.002346	63.187800	1.105500
12	50626	0.361965	0.094991	10.664300	1.181610	0.163386	36.975700	19.935900	43.510800	17.901100	0.842451	22.779100	29.347600	0.492707	1.627210	0.778735	0.284451	0.392811	0.876302	0.025566	0.025697	0.050137	0.049647	0.002950	0.678765	0.000752	0.002540	0.054795	0.114769	0.001074	0.931439	2.059530	0.402931	1.270900	1.162080	0.794906	0.019200	0.466912	0.924258	0.995981	0.063259	0.138459	0.002233	75.923200	1.140360
13	50069	0.303265	0.066404	10.357900	1.192630	0.214747	37.554700	20.331700	46.958300	18.752900	0.798263	23.176900	28.378100	0.484430	1.422150	0.767943	0.270874	0.463762	0.996043	0.022900	0.024929	0.049490	0.056480	0.003391	0.725346	0.000749	0.002870	0.057321	0.197288	0.000936	0.991392	1.924770	1.027719	1.134450	1.104900	0.776205	0.013519	0.509921	0.976587	0.997321	-0.026687	0.154074	0.002016	58.937200	1.114340
14	40876	0.313286	0.067365	10.311800	1.191460	0.193724	37.603800	20.309800	43.418400	19.286100	0.893890	22.084200	30.967100	0.466768	1.633150	0.719231	0.270758	0.451871	0.974721	0.023866	0.024531	0.050219	0.053493	0.003307	0.722492	0.000607	0.002005	0.054170	0.198010	0.001059	0.985751	2.096930	0.622423	1.220770	1.147230	0.774099	0.014188	0.497355	0.989904	0.966243	0.026671	0.327926	0.001812	60.752400	1.111940
