AdultTestsAgeSex				
0.06345	0.24124	0.46604	0.15755	0.07172
0.07761	0.24951	0.46147	0.14944	0.06197
0.07691	0.24550	0.46963	0.15116	0.05679
0.09388	0.25382	0.46440	0.14019	0.04772
ObsHCTprevAgeSex				
0.04556	0.03158	0.06439	0.03942	0.07613
0.02899	0.02525	0.05658	0.03698	0.07280
0.02095	0.02145	0.05098	0.03325	0.05848
0.01504	0.01534	0.03881	0.02805	0.04916
ObservedPrevHCT, SEprevHCT		
2004	0.3084	0.0231
2005	0.3035	0.0226
2006	0.2927	0.0178
2007	0.2829	0.0148
2008	0.3123	0.0139
2010	0.1561	0.0058
2012	0.2954	0.0106
2015	0.1040	0.0041
2016	0.0965	0.0039
2017	0.1023	0.0041
2018	0.0944	0.0038
2019	0.0640	0.0029
2020	0.0502	0.0026
2021	0.0432	0.0025
2022	0.0379	0.0023
2023	0.0288	0.0022

