AdultTestsAgeSex				
0.03946	0.26498	0.48409	0.08243	0.12903
0.04083	0.27647	0.50369	0.08050	0.09851
0.04433	0.27152	0.50656	0.09212	0.08547
0.04739	0.26554	0.50743	0.10318	0.07647
ObsHCTprevAgeSex				
0.02803	0.01780	0.04430	0.04717	0.05820
0.01873	0.01332	0.03896	0.04772	0.05087
0.01575	0.01148	0.03533	0.04407	0.04673
0.01264	0.01010	0.03097	0.03684	0.04227
ObservedPrevHCT, SEprevHCT		
2004	0.3197	0.0213
2005	0.2550	0.0127
2006	0.2571	0.0113
2007	0.2132	0.0088
2008	0.1783	0.0068
2010	0.1125	0.0044
2012	0.1002	0.0040
2015	0.0647	0.0029
2016	0.0487	0.0026
2017	0.0426	0.0024
2018	0.0389	0.0024
2019	0.0374	0.0023
2020	0.0376	0.0023
2021	0.0322	0.0022
2022	0.0291	0.0022
2023	0.0255	0.0021

