1996	416	0.500
1996	295	0.464
1998	249	0.426
1998	121	0.686
2001	101	0.780
2004	775	0.596
2004	276	0.591
2012	349	0.669
2013	764	0.718
2013	650	0.397
2013	766	0.535
2014	410	0.615
2014	249	0.751
2016	508	0.536
2017	384	0.180
2017	248	0.363
2017	248	0.536
2017	399	0.551
2017	249	0.799
2018	546	0.583
2018	781	0.425
2018	600	0.777
2019	272	0.699
2019	261	0.651
2019	377	0.255
2019	267	0.704
2019	168	0.512
2019	351	0.858
2019	82	0.671
2019	540	0.696
2019	190	0.732
2019	157	0.643
2019	80	0.813
2019	260	0.365
2018	156	0.519
2024	426	0.416
2024	380	0.382
2024	386	0.314
2024	380	0.333
2024	354	0.329
2024	362	0.497
2024	186	0.425
2025	671	0.703
2025	804	0.563
2025	868	0.624



