0.0010066	-26.6406	0	0
0.00100007	17.9428	0	0
0.00101738	45.9527	0	0
0.00403985	60.1228	0	0
0.0091797	58.7826	0	0
0.0134089	60.3884	0	0
0.0272106	59.827	0	0
0.0518083	58.5085	0	0
0.0788077	57.8727	0	0
0.0712986	58.4509	0	0
0.0932757	57.8039	0	0
0.115602	57.6515	0	0
0.0587179	59.1232	0	0
0.119167	58.2039	0	0
0.157851	57.6177	0	0
0.174347	57.4087	0	0
0.189009	57.274	0	0
0.16743	57.623	0	0
0.202618	57.5577	27.8836	0.000995843
0.0877282	59.2138	2.81174	9.69564e-05
0.265406	57.3564	56.5829	0.0018861
0.236871	57.8715	16.5693	0.000534492
0.258832	57.9291	45.3029	0.00141572
0.130055	59.1084	2.46868	7.48084e-05
0.256754	58.0251	11.5103	0.000338537
0.312358	57.7522	76.4163	0.00218332
0.300972	57.9958	53.1182	0.0014755
0.273869	58.2119	30.9354	0.000836091
0.305493	58.0658	54.5619	0.00143584
0.323943	58.0151	71.2078	0.00182584
0.231495	58.6162	5.61954	0.000140489
0.329074	58.0797	66.1282	0.00161288
0.292833	58.3814	14.1984	0.000338056
0.354176	58.1496	101.172	0.00235283
0.36971	58.0809	117.779	0.00267679
0.364983	58.1319	102.793	0.00228429
0.383498	58.0637	126.863	0.00275789
0.0178347	62.8141	1.15416	2.45566e-05
0.172137	59.4947	5.05242	0.000105259
0.265363	58.9394	16.3496	0.000333666
0.306297	58.808	28.0165	0.00056033
0.266278	59.055	10.1996	0.000199992
0.352557	58.6653	39.317	0.000756095
0.177661	60.6011	12.1808	0.000229827
0.0340109	64.1332	1.23284	2.28304e-05
0.194193	61.5542	16.6869	0.000303398
0.208149	61.7549	8.37704	0.00014959
0.0822131	64.2327	12.4355	0.000218167
0.10603	63.7969	11.4363	0.000197177
0.139424	63.3116	10.5444	0.000178719
0.154087	63.5261	16.425	0.00027375
0.185331	63.2327	15.1941	0.000249084
0.174144	63.7255	11.2158	0.0001809
0.234498	63.6263	25.1327	0.000398931
0.12449	65.2359	4.43334	6.9271e-05
0.217337	64.3292	26.6775	0.000410423
0.149005	65.4964	5.20942	7.89306e-05
0.210898	65.0578	11.434	0.000170656
0.306605	64.6078	48.8366	0.000718186
0.199706	65.4301	4.42271	6.40973e-05
0.310905	64.821	38.9519	0.000556456
0.246983	65.556	22.078	0.000310957
0.251837	65.5165	21.6189	0.000300262
0.313436	65.1646	32.5283	0.000445593
0.362169	65.0468	70.7966	0.000956711
0.0273213	68.9541	1.07734	1.43645e-05
0.362179	65.4117	89.2006	0.00117369
0.329406	65.6262	21.4053	0.000277991
0.393118	65.3676	106.443	0.00136466
0.37743	65.5326	68.5593	0.000867839
0.325075	65.7771	15.5167	0.000193958
0.421313	65.3797	128.739	0.00158937
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
