     0	     0	   46.8737	   26.8453	   20.3999	   16.2683	   2.52115	   8.83905	         0	         0	     10.33	  -7.17677
     1	     0	   49.5752	    26.825	   22.7296	   14.1171	    3.5852	   8.30226	         0	         0	   10.7032	  -6.73557
     2	     0	   50.9895	   26.8274	   23.0648	   16.7311	   2.54296	   8.25979	         0	         0	   10.9258	  -6.95527
     3	     0	   48.7778	   26.9052	   21.7999	   16.1056	   3.04069	   9.07441	         0	         0	   10.3372	  -7.32453
     4	     0	   47.2964	   26.8234	   21.7102	   14.7211	   3.50965	    9.0585	         0	         0	    10.479	   -7.4447
     5	     0	   51.0071	   26.2148	   23.0354	     15.04	    2.5211	   7.88771	         0	         0	   10.9137	  -6.77448
     6	     0	   50.5916	   26.9095	   22.6419	   15.5322	   2.84809	   9.10321	         0	         0	   10.9578	  -7.55303
     7	     0	   50.3469	   26.9601	   21.2559	   17.2671	  0.466922	   9.02219	         0	         0	   11.0186	  -7.59569
     8	     0	   49.8231	    26.466	   22.3396	   14.9156	   3.11455	   8.78098	         0	         0	   10.5728	  -6.89517
     9	     0	   49.8086	   26.8003	   22.4093	   15.5568	   2.99289	   8.07655	         0	         0	   10.8635	  -6.88544
    10	     0	   51.6171	   25.8874	   22.9027	   15.5128	  0.649661	   7.86451	         0	         0	   10.9132	  -7.04389
    11	     0	   49.7949	   26.8003	   22.4093	   16.6023	   2.97673	   8.07655	         0	         0	   10.8635	   -6.8891
    12	     0	   51.1741	   24.6241	    22.512	   14.8707	   1.82044	   7.93131	         0	         0	   10.6021	  -6.84274
    13	     0	   51.4902	   26.3664	   22.4302	   15.1752	   1.19103	   7.69155	         0	         0	   10.8979	  -6.94575
    14	     0	   50.5566	    26.853	   22.0581	   15.0065	   2.69449	   8.86528	         0	         0	   10.9486	  -7.41144
    15	     0	   49.8666	   26.8737	   22.1078	   15.8134	   2.94433	    9.1659	         0	         0	    10.548	   -7.4147
    16	     0	   48.9071	   25.5802	    21.848	   16.1517	   3.63483	   7.79247	         0	         0	   10.1207	  -6.50166
    17	     0	   49.8058	    26.466	   22.3396	   14.7091	   3.10992	   8.78098	         0	         0	   10.5728	   -6.8965
    18	     0	   49.7148	   26.2843	   21.8414	   15.6797	   2.52333	   8.46671	         0	         0	   10.4802	  -7.01331
    19	     0	   47.4282	   26.8235	   20.3765	   14.7471	     2.366	   9.08192	         0	         0	   10.6864	  -7.30217
    20	     0	   49.4876	   25.3831	   22.2445	   15.6109	   3.53483	   8.94187	         0	         0	   9.89501	  -7.00477
    21	     0	   46.7617	   26.8453	   20.3999	   16.6296	   2.49457	   8.83905	         0	         0	     10.33	  -7.18171
    22	     0	   47.2935	   26.8235	   20.3765	   15.1676	    2.3362	   9.08192	         0	         0	   10.6864	  -7.30779
