0	78085	0.00496217	0.0688009	0.2705	0.0915776	0.841995	1.32768	1.05282	0.171335	1.053	0.0773492	6.20436	1.53187	0.171422	0.82245	0.73304385	0.004141256	0.028489273	1.273126671	32.69648194	18.16471219	0.198374
1	74113	0.00439252	0.0737207	0.259586	0.0836798	0.842863	1.27586	1.00629	0.135189	1.10091	0.081786	5.3629	1.34613	0.171689	0.803065	0.436481377	0.012053411	0.133980511	1.491599276	37.01891968	20.56606649	0.199975
2	74725	0.00439055	0.0744448	0.277058	0.0819116	0.840353	1.30084	0.988782	0.129228	1.0826	0.0817903	5.13174	1.26082	0.173602	0.813353	0.696627934	0.010482619	0.052461385	0.557728252	49.06752377	27.25973543	0.223696
3	78756	0.00489567	0.0683278	0.270442	0.0878564	0.850703	1.25988	1.06917	0.169126	1.05352	0.0806444	5.65384	1.4303	0.166954	0.807944	0.844324569	0.009185477	0.155327522	0.955655184	24.3503052	13.52794733	0.20373
4	78596	0.00481966	0.0686628	0.27847	0.0916702	0.84763	1.26873	1.06387	0.162238	1.04978	0.0779016	5.86651	1.60379	0.174093	0.826707	0.779799816	0.008460427	0.097129021	1.572537963	24.32229767	13.51238759	0.205448
5	74052	0.00436774	0.0731497	0.268607	0.081009	0.839955	1.25787	1.02028	0.133246	1.09061	0.0831048	5.20933	1.2888	0.176424	0.8173	0.693529971	0.013251907	0.108820668	1.061584267	25.46685103	14.14825057	0.204426
6	66411	0.00463945	0.0708443	0.287936	0.0832938	0.867927	1.2585	0.954316	0.150587	1.05594	0.0806142	6.02042	1.34415	0.171593	0.803758	0.460003901	0.011827826	0.125333495	1.212228543	41.21467237	22.8970402	0.197118
7	57817	0.00486108	0.0706666	0.299084	0.0855721	0.858519	1.37196	0.937741	0.154459	1.04754	0.0789039	6.81662	1.41041	0.17113	0.824175	0.622031194	0.017497197	0.175945078	0.596675139	44.29102136	24.60612298	0.216495
8	76791	0.00450562	0.0708162	0.259686	0.0811332	0.837342	1.34489	0.950312	0.118988	1.07579	0.081916	5.38413	1.281	0.169682	0.782629	0.688944874	0.012946782	0.178162783	1.040265778	38.65945075	21.47747264	0.260167
9	68010	0.00425906	0.0783493	0.280599	0.0768915	0.840965	1.24162	0.964784	0.151834	1.09135	0.08257	5.67492	1.25832	0.168191	0.79353	0.206742099	0.009415425	0.129182671	1.291067351	44.20458355	24.55810197	0.207649
