0.0010066	-26.6406
0.00100007	17.9428
0.00101738	45.9527
0.00403985	60.1228
0.0091797	58.7826
0.0134089	60.3884
0.0272106	59.827
0.0518083	58.5085
0.0788077	57.8727
0.0712986	58.4509
0.0932757	57.8039
0.115602	57.6515
0.0587179	59.1232
0.119167	58.2039
0.157851	57.6177
0.174347	57.4087
0.189009	57.274
0.16743	57.623
0.202618	57.5577
0.0877282	59.2138
0.265406	57.3564
0.236871	57.8715
0.258832	57.9291
0.130055	59.1084
0.256754	58.0251
0.312358	57.7522
0.300972	57.9958
0.273869	58.2119
0.305493	58.0658
0.323943	58.0151
0.231495	58.6162
0.329074	58.0797
0.292833	58.3814
0.354176	58.1496
0.36971	58.0809
0.364983	58.1319
0.383498	58.0637
0.0178347	62.8141
0.172137	59.4947
0.265363	58.9394
0.306297	58.808
0.266278	59.055
0.352557	58.6653
0.177661	60.6011
0.0340109	64.1332
0.194193	61.5542
0.208149	61.7549
0.0822131	64.2327
0.10603	63.7969
0.139424	63.3116
0.154087	63.5261
0.185331	63.2327
0.174144	63.7255
0.234498	63.6263
0.12449	65.2359
0.217337	64.3292
0.149005	65.4964
0.210898	65.0578
0.306605	64.6078
0.199706	65.4301
0.310905	64.821
0.246983	65.556
0.251837	65.5165
0.313436	65.1646
0.362169	65.0468
0.0273213	68.9541
0.362179	65.4117
0.329406	65.6262
0.393118	65.3676
0.37743	65.5326
0.325075	65.7771
