Initial Active TB prevalence	
0.007874323	0.003655798
0.001798703	0.00083511
0.001125968	0.00052258
0.005064823	0.002351895
0.008529444	0.003960401
0.007406863	0.003438953
0.0062206	0.002888064
0.007168391	0.003327982
0.009090395	0.004220842
0.009834266	0.004565643
0.008354655	0.003878872
0.007108773	0.003300806
0.004732181	0.002197329
0.003988311	0.001851395
0.00219435	0.001018551
0.002517507	0.001168587
Proportion of active TB that is smear-positive	
0.505	0.321
Prevalence of previous TB at baseline	
0.005419821	0.006227936
0.014227031	0.010191167
0.027776584	0.011323519
0.035228838	0.014720575
0.027776584	0.012455871
0.029809017	0.017551455
Latent TB parameters	
0.98	0.064
Latent TB scaling factor 	
1	
Initial % of TB cases that are rif resistant 0.018	
0.018	
