Initial Active TB prevalence	
0.011687307	0.00599401
0.002669689	0.001369237
0.001671195	0.000856818
0.007517363	0.003856143
0.012659657	0.006493433
0.010993489	0.005638472
0.009232801	0.00473524
0.010639542	0.005456526
0.013492238	0.00692045
0.014596313	0.007485782
0.012400229	0.006359759
0.010551055	0.005411968
0.007023646	0.003602718
0.005919571	0.003035529
0.00325692	0.001670005
0.00373656	0.001916004
Proportion of active TB that is smear-positive	
0.505	0.321
Prevalence of previous TB at baseline	
0.008044262	0.01021126
0.021116187	0.016709335
0.041226841	0.018565928
0.052287701	0.024135707
0.041226841	0.020422521
0.044243439	0.028777189
Latent TB parameters	
0.98	0.064
Latent TB scaling factor 	
1	
Initial % of TB cases that are rif resistant 0.018	
0.018	
