Initial Active TB prevalence	
0.015397916	0.007540084
0.00351729	0.001722413
0.002201784	0.001077822
0.009904054	0.004850783
0.016678978	0.008168327
0.014483818	0.00709284
0.012164128	0.005956631
0.014017495	0.006863964
0.017775895	0.008705486
0.019230504	0.009416639
0.016337184	0.008000173
0.013900914	0.006807912
0.009253587	0.004531991
0.007798979	0.003818503
0.004290962	0.002100761
0.004922882	0.002410211
Proportion of active TB that is smear-positive	
0.505	0.321
Prevalence of previous TB at baseline	
0.010598238	0.012845117
0.027820376	0.021019283
0.054315972	0.023354759
0.068888549	0.030361186
0.054315972	0.025690235
0.058290311	0.036199876
Latent TB parameters	
0.98	0.064
Latent TB scaling factor 	
1	
Initial % of TB cases that are rif resistant 0.018	
0.018	
