Initial Active TB prevalence	
0.028099774	0.014789281
0.00641873	0.003378378
0.004018052	0.002114063
0.018073983	0.00951443
0.030437594	0.01602153
0.026431629	0.013912048
0.02219841	0.011683463
0.025580634	0.013463124
0.032439367	0.017075126
0.035093893	0.018469996
0.029813853	0.015691709
0.025367885	0.013353184
0.016886941	0.008889144
0.014232416	0.007489693
0.007830609	0.004120477
0.008983804	0.004727439
Proportion of active TB that is smear-positive	
0.505	0.321
Prevalence of previous TB at baseline	
0.019340806	0.025194687
0.050769616	0.041227669
0.099121631	0.045808522
0.12571524	0.059551078
0.099121631	0.050389374
0.106374434	0.071003208
Latent TB parameters	
0.98	0.064
Latent TB scaling factor 	
1	
Initial % of TB cases that are rif resistant 0.018	
0.018	
