Initial Active TB prevalence	
0.008107411	0.003446895
0.001851947	0.000787389
0.001159298	0.000492719
0.005214747	0.002217501
0.008781924	0.003734092
0.007626114	0.003242441
0.006404736	0.002723031
0.007380583	0.003137812
0.00935948	0.003979651
0.01012537	0.004304749
0.008601961	0.003657222
0.0073192	0.003112188
0.004872259	0.002071767
0.004106369	0.001745601
0.002259305	0.000960348
0.002592028	0.001101811
Proportion of active TB that is smear-positive	
0.505	0.321
Prevalence of previous TB at baseline	
0.005580254	0.005872054
0.014648166	0.009608815
0.0285988	0.010676461
0.036271649	0.013879399
0.0285988	0.011744107
0.030691395	0.016548515
Latent TB parameters	
0.98	0.064
Latent TB scaling factor 	
1	
Initial % of TB cases that are rif resistant 0.018	
0.018	
