Initial Active TB prevalence	
0.007874323	0.0052518
0.001798703	0.001199691
0.001125968	0.000750722
0.005064823	0.003378655
0.008529444	0.005689382
0.007406863	0.004940287
0.0062206	0.004148897
0.007168391	0.00478087
0.009090395	0.006063523
0.009834266	0.006558853
0.008354655	0.00557226
0.007108773	0.004741829
0.004732181	0.003156611
0.003988311	0.002659654
0.00219435	0.001463216
0.002517507	0.001678754
Proportion of active TB that is smear-positive	
0.505	0.321
Prevalence of previous TB at baseline	
0.005419821	0.008946848
0.014227031	0.014640297
0.027776584	0.016266996
0.035228838	0.021147095
0.027776584	0.017893696
0.029809017	0.025213844
Latent TB parameters	
0.98	0.064
Latent TB scaling factor 	
1	
Initial % of TB cases that are rif resistant 0.018	
0.018	
