Initial Active TB prevalence	
0.014943365	0.009300544
0.003413459	0.002124563
0.002136787	0.001329472
0.009611683	0.005983345
0.016186609	0.010075469
0.014056251	0.008748878
0.01180504	0.007347387
0.013603695	0.008466563
0.017251146	0.010738045
0.018662814	0.011615237
0.015854906	0.009868054
0.013490555	0.008397425
0.008980418	0.005590121
0.007568751	0.004710048
0.004164291	0.002591246
0.004777557	0.002972948
Proportion of active TB that is smear-positive	
0.505	0.321
Prevalence of previous TB at baseline	
0.010285375	0.015844198
0.02699911	0.025926869
0.052712548	0.028807632
0.06685494	0.037449922
0.052712548	0.031688395
0.056569564	0.04465183
Latent TB parameters	
0.98	0.064
Latent TB scaling factor 	
1	
Initial % of TB cases that are rif resistant 0.018	
0.018	
